s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;65;1964;166;1964-06-14;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;69;1964;167;1964-06-15;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;69;1964;167;1964-06-15;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;69;1964;167;1964-06-15;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;69;1964;172;1964-06-20;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;69;1964;172;1964-06-20;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;81;1964;254;1964-09-10;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;100;1964;259;1964-09-15;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;380;1964;280;1964-10-06;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;380;1964;285;1964-10-11;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1964;292;1964-10-18;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;87;1964;312;1964-11-07;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;87;1964;314;1964-11-09;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1964;320;1964-11-15;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;60;1965;124;1965-05-04;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;65;1965;129;1965-05-09;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;60;1965;142;1965-05-22;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;69;1965;142;1965-05-22;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;60;1965;152;1965-06-01;0;CC BY-NC 4.0
