feature,r2,slope,n,p,pheno_key
veraison_harvest_et0_mean_lpf30_peak,0.060803238989531216,0.8233001856626612,386,9.351368471817624e-07,vine
fill_tmax_mean_lpf30_peak,0.06009886016288116,0.0366223690992643,96,0.01606791105448929,hazelnut
pre_flower_et0_mean_lpf3_peak,0.05970623959644429,0.2750944672341388,118,0.007662329013388164,cherry
maturation_vpd_mean_lpf30_peak,0.05963758293721881,-0.07407029254956413,205,0.00041756551646555197,almond
vpd_max_lpf7_peak_doy,0.05947277655572742,-0.04389919790503449,143,0.0033341963250450232,stone_fruit
pre_flower_vpd_mean_lpf30_peak,0.05941589350923682,6.629942775828361,143,0.003349788281368476,stone_fruit
flower_set_tmax_mean_lpf3_peak,0.059333179373855585,-0.05987618801919795,118,0.007860754127823395,cherry
flower_vpd_mean_lpf7_peak,0.05924580410110427,-0.16418162381214488,354,3.5988156715899334e-06,olive
pre_flower_vpd_mean_lpf7_peak,0.05909648477923626,4.276910986165742,143,0.0034387088749086477,stone_fruit
vpd_max_lpf30_peak_doy,0.05887852085498917,-0.07340573132136867,96,0.017217171137291737,pome_fruit
vpd_max_lpf14_peak_doy,0.058177161721503966,-0.03272419752579699,386,1.631491809668556e-06,vine
precip_mean_lpf3_peak_doy,0.05811707087157747,0.0005632080273325849,96,0.017976111863757225,hazelnut
fruit_set_precip_mean_lpf7_peak,0.057915149113865944,-0.18267960328513244,57,0.07134718208335164,apricot
flower_veraison_et0_mean_lpf7_peak,0.05756286944649705,0.7078816835518773,386,1.8581719835833812e-06,vine
vpd_mean_lpf14_peak_doy,0.057493846468072415,-0.0025351498627580794,205,0.0005346438282777051,almond
et0_mean_lpf14_peak_doy,0.05745578603090392,-0.05154146806759596,52,0.08698350414010092,other
maturation_vpd_max_lpf30_peak,0.05734761206013025,-0.06860300848531639,205,0.0005437343961669013,almond
maturation_vpd_max_lpf7_peak,0.05697571862989853,-0.0776338843631636,96,0.019177736889099344,hazelnut
fruit_fill_et0_mean_lpf3_peak,0.05684061621814149,1.263989358881726,143,0.004137977779619425,stone_fruit
tmax_mean_lpf3_peak_doy,0.05645107024671688,-0.006465364537412707,191,0.0009343407213665481,walnut
vpd_max_lpf14_peak_doy,0.05638848963808146,-0.0025332311604143176,205,0.0006073139127257016,almond
fill_vpd_mean_lpf3_peak,0.056337855810514266,0.07724042346384447,96,0.019884466054130294,hazelnut
vpd_mean_lpf7_peak_doy,0.056282479526949494,-0.006179555009800894,191,0.0009514801379072617,walnut
maturation_tmax_mean_lpf3_peak,0.05623143343513017,-0.025930278111835504,96,0.02000492655256026,hazelnut
cell_div_precip_mean_lpf7_peak,0.05603824918130419,-0.43795009491922443,96,0.020225490589052837,pome_fruit
precip_mean_lpf30_peak_doy,0.05576702533853358,0.011166970161794612,96,0.020539329905433064,pome_fruit
vpd_max_lpf3_peak_doy,0.0552390144570422,-0.005009719682563947,118,0.010410382771472229,cherry
tmax_mean_lpf14_peak_doy,0.05514557889244049,-0.012209373202360128,191,0.0010755772095342323,walnut
pre_flower_vpd_mean_lpf14_peak,0.054494702755420864,4.761205447142878,143,0.005017253992685794,stone_fruit
flower_veraison_et0_mean_lpf3_peak,0.05423061599864573,0.6414458891791078,386,3.7613568526930575e-06,vine
cell_div_precip_mean_lpf3_peak,0.05329082515170684,-0.3039982227573398,96,0.02364385010552696,pome_fruit
vpd_max_lpf14_peak_doy,0.05325574394512321,-0.04021953060074314,52,0.09977015430632027,other
