comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,climate_method,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip
Maresme,2021,Olivera per a oliva d'oli,olive,olive,5.0,1.5,centroid,1.1688164412923223,1.876430539985245,3.0,257.61201126575475,22.20745349321212,15.184141965772309,94.30399973392484,1.5744989947737664,2.2291438407093622,6.0,288.45085096359253,27.04750759986141,20.10275691863032,82.38600106127559,0.9304427158980632,1.377637450629233,0.0,193.04200987815852,20.226832194904727,13.8677437918527,311.7180008482188
Maresme,2022,Olivera per a oliva d'oli,olive,olive,5.0,1.2,centroid,1.482064249952385,2.3187771557367896,8.0,299.00682873725884,24.72156962410351,16.720081266809704,81.92999897114933,1.929571007062569,2.642585766419532,30.0,319.5453703880309,29.303660337386614,21.60305037959932,101.62000069618225,1.059275576542826,1.5807680377208293,0.0,203.55544151067727,21.93187148544817,15.225045407473404,188.99999977052207
Maresme,2023,Olivera per a oliva d'oli,olive,olive,1.0,1.32,centroid,1.1779462095527324,1.658898270576039,0.0,258.3864098072052,22.85750052029972,15.68377055183788,200.49800177030264,1.6662621639672168,2.5073457735985216,9.0,299.8099363803864,28.25806313791585,21.34701006489418,109.72400134392082,1.1448990309586935,1.7648019875822805,1.0,228.4368743658066,22.11557999495624,15.176535604288317,166.3500009164214
Maresme,2024,Olivera per a oliva d'oli,olive,olive,2.0,2.58,centroid,1.0812328569173026,1.6055133863387618,0.0,254.2975342273712,21.835629322489776,15.270153508420872,159.81799907125534,1.684256897682012,2.511400872759756,12.0,304.7850919723511,28.323576797977594,21.42235107421877,97.02600021809336,0.8992103218398806,1.58856852214094,0.0,189.2546621322632,20.780735292539514,14.897726742251912,292.2279997240752
Moianès,2016,Olivera per a oliva d'oli,olive,olive,5.0,0.43,centroid,1.4723107209685984,2.2671388654792906,8.0,261.2412287592888,21.998138327676763,11.39085653336324,118.60000041685998,2.1126165163522663,2.774558455226002,38.0,298.4071931838989,28.025733996975827,16.584705525059878,94.53000037185848,1.0265193019584362,2.353913893171609,8.0,173.93341030180454,18.81062243115773,10.155084228515648,276.4199981465936
Moianès,2017,Olivera per a oliva d'oli,olive,olive,4.0,1.13,centroid,1.918269379806356,3.212730673386364,20.0,293.75707924366,24.808067847079933,13.176434025999,66.62999889627099,2.3501353360927424,3.433189636644112,44.0,316.7140805721283,28.96035107028101,17.69266613375758,89.48999956995249,0.9799487343781346,1.5684692532683324,0.0,171.7743581533432,18.360181804279723,9.183055433336218,164.50999973528087
Moianès,2018,Olivera per a oliva d'oli,olive,olive,4.0,0.8,centroid,1.3003559040133856,2.064230212486179,5.0,240.5023559331894,21.782392307969403,12.195520269675356,344.3000026233494,1.9048620294101328,2.91426810395966,26.0,275.8960399627685,27.54838468490109,17.011239377913956,211.52000151388347,0.8664465131666923,1.6119539624764034,0.0,165.00240623950958,18.20108310573706,10.215022764101157,404.3099979851395
Moianès,2019,Olivera per a oliva d'oli,olive,olive,4.0,0.91,centroid,1.678384176284028,3.6015882467844804,13.0,277.5030880570412,22.311085335153063,10.972953321112984,132.54999910108745,2.167690368484363,3.2787336534564013,37.0,298.9976713657379,28.4163791779549,17.28916739186935,134.6899998355657,0.9960290894805328,1.9210444968037337,2.0,183.62419867515564,18.300988098815267,9.478449492402152,324.430004036054
Moianès,2020,Olivera per a oliva d'oli,olive,olive,6.0,1.02,centroid,1.333539407908508,1.993335208967824,3.0,245.47991341352463,22.01272072713885,12.270528224257196,267.85000077821314,1.8809493327812248,2.762285707152592,21.0,284.7474545240402,27.30595452093311,16.975091552734394,179.77999975718558,0.9209827685656068,1.7221118206277897,1.0,172.15406867861748,17.552987167861456,8.955168772267793,241.4599988013506
Moianès,2021,Olivera per a oliva d'oli,olive,olive,6.0,0.5,centroid,1.4823925337669788,2.4363250324060703,7.0,262.71783351898193,22.092812860207506,11.845678260678174,131.85999941453338,2.211669472983403,3.670443007523435,39.0,302.60117042064667,27.94256892050468,17.011784018239688,91.4199993070215,0.9070265964215553,1.5714636934766328,0.0,171.0350587964058,17.83615960760433,9.933314329713278,280.60000022128224
Moianès,2022,Olivera per a oliva d'oli,olive,olive,6.0,0.5,centroid,2.067051767947531,3.5707073937342115,30.0,307.9351304173469,25.48596031314039,13.574328963482987,112.35999917797744,2.560551570310464,3.7476995206818287,45.0,323.7741825580597,29.795705044654127,17.71684836110763,149.11999781243503,1.0518644626130325,1.7712633810850402,1.0,183.15879380702967,19.534669578468424,11.081746128627255,215.3499986641109
Moianès,2023,Olivera per a oliva d'oli,olive,olive,6.0,0.2,centroid,1.448806565283303,2.124699936667162,4.0,249.3584566116333,22.287685857053685,12.06358277367766,262.9899990037084,2.2485153712177874,3.7077471961303017,39.0,306.2632889151573,28.803782112367703,18.024839635049155,153.81999976746738,1.2260978855037488,2.2542034430923925,10.0,209.75257118046284,20.236696951729936,11.281528950785567,116.98999969102442
Moianès,2024,Olivera per a oliva d'oli,olive,olive,5.0,0.388,centroid,1.3048322218576511,2.101705337266415,5.0,249.8710679411888,21.117359749215563,11.872773617603762,304.6899995468557,2.1091438493627086,3.398375186253367,33.0,297.64300417900085,28.32042403682588,17.668952006678445,131.8700001630932,0.8867505870584439,1.7001509445602458,2.0,169.81496831774712,18.23009207589288,10.746616170694562,299.3200012035668
Montsià,2016,Olivera per a oliva d'oli,olive,olive,12950.0,1.3,area_weighted,1.7844620827001365,2.6528413871837846,21.0,310.8210050194363,24.17910786506673,14.410378583282707,65.4377991575258,2.4445216492516666,3.105421994076427,52.0,336.70203460862314,29.71506601945891,19.390701763576946,22.338182442553048,1.2902031194134187,2.657047542094972,9.0,216.2724068796411,21.58497023965378,13.503393465475206,236.36147099551803
Montsià,2017,Olivera per a oliva d'oli,olive,olive,13011.0,1.275,area_weighted,1.8360224544322687,2.6573973399989006,22.0,311.7212400841345,25.48959176775471,15.366106243358592,93.09196763026073,2.183710119373933,2.9577676070847585,34.0,327.9640722215756,29.28750760020532,19.592432800957504,55.98905728285219,1.546646989027091,2.472736109945316,19.0,263.11443485272554,22.1228372907922,12.58585899571613,63.230763260799286
Montsià,2018,Olivera per a oliva d'oli,olive,olive,13096.0,0.761,area_weighted,1.6151119626178194,2.6770081959327903,14.0,284.66532894681944,23.865582480581253,14.6868349439842,166.25354238366492,2.382483998342282,3.315515580952066,46.0,320.7391098970413,30.00041510974039,19.781059813792496,91.65388483809824,1.2348883155850174,2.4627801775413456,12.0,214.67844011852537,21.24777170764111,13.473172109854474,334.5267966393433
