comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Baix Penedès,2017,Olivera per a oliva d'oli,olive,olive,1165.0,1.942,311.16904812212266,48.53376357950111,2.853043766110671,25.564509461411088,16.638486902786532,1.8462207373328283,22,319.3610258967302,53.38474935589706,2.826554887136674,29.21800692937065,21.08784120575676,2.072802335767551,33,213.31503867795757,133.80352118522637,1.945368238043104,21.393352117617138,13.202975253388445,1.2254520852344055,3
Conca de Barberà,2017,Olivera per a oliva d'oli,olive,olive,741.0,1.642,324.93190523236734,51.6900001000613,3.279675114996465,24.96173962748803,13.6410382708868,2.014377006156737,26,339.94180427822454,68.56000012159348,3.2010201985152062,28.957972399997868,17.968613258148217,2.359908187409017,51,220.82090116613875,93.8000004608184,2.160453573537123,19.67140722302302,9.915306789178118,1.2518503637625578,9
Garrigues,2017,Olivera per a oliva d'oli,olive,olive,15635.0,0.96,365.3335480053881,55.48165711928528,3.876394089649533,27.124966883695706,14.695427478170052,2.471078595905732,44,386.08003917861146,48.676706682501965,3.991550466698517,31.042648013673585,19.00027378189109,2.9202863318232155,58,252.2945055164172,57.860817573735176,2.5431038372201598,21.18974440681876,10.412629227066256,1.5142948683681494,20
Montsià,2017,Olivera per a oliva d'oli,olive,olive,13011.0,1.275,311.7212400841345,93.09196763026073,2.6573973399989006,25.48959176775471,15.366106243358592,1.8360224544322687,22,327.9640722215756,55.98905728285219,2.9577676070847585,29.28750760020532,19.592432800957504,2.183710119373933,34,263.11443485272554,63.230763260799286,2.472736109945316,22.1228372907922,12.58585899571613,1.546646989027091,19
Noguera,2017,Olivera per a oliva d'oli,olive,olive,1163.0,0.98,352.8501909292638,79.30093262135696,4.5992583258351925,28.27677672653915,15.54126789724738,2.75903733455364,47,388.5395006351978,62.905603126986286,4.622162409297267,32.67274283905065,20.02952771312264,3.444161427587706,61,227.10340493380016,87.23107056038488,2.723749108026254,21.27233868796035,10.055907980895327,1.5877106134571992,23
Pallars Jussà,2017,Olivera per a oliva d'oli,olive,olive,699.0,0.95,278.23297817609955,112.42805767255008,3.4633678039178637,24.58812362370232,12.04059184525718,2.0142900445209118,21,309.15201835832295,90.1821870152568,3.738202208700266,29.37233169143898,16.615880610009977,2.7356724316133887,51,181.7428591966126,104.31940558497216,2.228349357699039,19.324844447036103,7.514464154554751,1.431823750961851,15
Pla d'Urgell,2017,Olivera per a oliva d'oli,olive,olive,29.0,0.98,380.0316541194916,59.11999911442399,4.982934450431513,29.80672778707781,15.857294913742765,3.1244472980986435,54,403.0682234764099,59.48999951593578,5.032136573333725,33.74563926944649,20.126294373560658,3.6910036877961145,62,248.1348291039467,65.82999951764941,2.9560801439714526,22.46216645711439,10.32304218417053,1.741038926971157,35
Priorat,2017,Olivera per a oliva d'oli,olive,olive,1715.0,1.315,348.48671545791075,57.86625902377117,3.403679836317431,26.59034238739987,14.670308497114052,2.261958790943098,39,366.82918967390543,42.57040925368764,3.6217924905556025,30.444167975044262,19.1129292783714,2.653396141983357,58,255.0986235316084,56.36176646481376,2.5708121581641885,21.489175826861736,10.715286371810082,1.5220828348177582,22
Ribera d'Ebre,2017,Olivera per a oliva d'oli,olive,olive,5308.0,1.275,356.32837787679864,63.33535470426769,3.682730899676963,27.80101195486259,15.591379184117224,2.4491716668202304,43,377.18942855820666,41.81782232815355,3.982610628113221,31.66382325833188,20.082885876316887,2.8885998845509366,60,274.2118217156987,53.34904113562109,2.828078877046366,22.655890353511253,11.77114563681733,1.695176582403433,27
Segrià,2017,Olivera per a oliva d'oli,olive,olive,9053.0,0.89,375.6317720089861,55.69728693944443,4.088692303096112,28.17065146095505,15.226982922978896,2.613585280596792,45,397.0676231696488,40.9655709687648,4.277866302352624,31.980595133544867,19.62774717271007,3.072886524182357,59,263.62503234440925,46.38430872976541,2.68154368981732,22.06043984949693,10.91361065389411,1.6127186368969886,25
Tarragonès,2017,Olivera per a oliva d'oli,olive,olive,898.0,1.642,316.7443018367654,31.98528211354004,2.4507393946353937,25.102039620028258,17.268053243289135,1.5984547279017658,13,329.2753513969655,38.76671176811532,2.7131918357535585,28.814964581987866,21.58247026320276,1.8160159271096377,19,249.98595770554712,99.02803778074605,2.2316413467297096,22.0408871037082,13.876373964740711,1.3141531987163373,8
Terra Alta,2017,Olivera per a oliva d'oli,olive,olive,4580.0,1.642,360.58681421026375,82.40484037372401,3.5161079757013627,26.886635972687024,14.782190934065328,2.31152586307699,39,386.9625938295068,47.34181828055356,3.871712773047153,30.7670339364425,19.12037371104696,2.7768351864800467,59,300.6879251662182,48.01585649534951,2.6704193890692847,21.623613076738,11.227929322227608,1.6063833910093874,24
Urgell,2017,Olivera per a oliva d'oli,olive,olive,2771.0,0.97,360.7049380853937,63.96000020578504,4.005746331690882,27.016271900581472,14.742635375603882,2.466149393917725,46,387.1710505616347,60.1599996201694,4.028262602225786,31.13915010458868,18.98016067933959,2.946705475233484,58,234.47310240860108,84.80999987572432,2.3422049892166887,20.44634659717228,10.157125808712353,1.3798127398459468,15
Vallès Oriental,2017,Olivera per a oliva d'oli,olive,olive,267.0,1.8,290.1657555103302,39.66999996453524,3.1865913454941537,25.42237220135112,15.551513086500972,1.9464682517807013,24,296.4197691679001,69.1900001000613,3.1211826711561312,28.828296933351588,19.96785923252624,2.173383301570746,41,163.98353719711304,184.1600011419505,1.5883726546644286,19.477744975189736,11.945464755409512,1.0431976731596355,1
Alt Camp,2018,Olivera per a oliva d'oli,olive,olive,1513.0,0.603,267.66800976756514,181.6673554099743,2.322605647060648,23.414455523249824,13.995738998393197,1.471384895418107,10,299.3908681489747,164.27654077555977,3.120952392697519,29.083813851878432,19.22465128898072,2.051734436552037,33,195.62527329153596,338.2987333494248,2.020283761527897,20.529401728034397,12.716248702166418,1.046152974514311,5
Alt Empordà,2018,Olivera per a oliva d'oli,olive,olive,2678.0,1.01,310.20516298370046,93.51293997119028,2.769236620411463,24.718436967614902,16.172085949369404,1.770701001244196,20,370.36556908879726,57.190509380835415,3.8117748154038105,31.245329650487125,21.842509672201967,2.770004140894289,61,240.5844560125072,343.66169153423715,2.3223279074209464,21.359833253161494,13.951738212461066,1.2320597347315358,12
