year,comarca,seca_ha,yield_tha,lag_yield,cohort
2017,Segarra,408.0,0.21466666666666667,0.13433333333333342,all_olive
2018,Segarra,409.0,0.10466666666666669,0.18433333333333335,all_olive
2019,Segarra,410.0,0.1146666666666667,0.07433333333333336,all_olive
2020,Segarra,421.0,0.18466666666666665,0.08433333333333337,all_olive
2021,Segarra,406.0,0.07466666666666666,0.15433333333333332,all_olive
2022,Segarra,402.0,-0.4293333333333333,0.044333333333333336,all_olive
2023,Segarra,364.0,-0.29033333333333333,-0.4596666666666666,all_olive
2024,Segarra,365.0,-0.1383333333333333,-0.32066666666666666,all_olive
2016,Segrià,8851.0,0.0043333333333333,-0.020666666666666722,all_olive
2017,Segrià,9053.0,0.1343333333333333,-0.0006666666666667043,all_olive
2018,Segrià,7941.0,0.03433333333333333,0.1293333333333333,all_olive
2019,Segrià,7810.0,0.07433333333333325,0.029333333333333322,all_olive
2020,Segrià,8528.0,0.1443333333333333,0.06933333333333325,all_olive
2021,Segrià,8190.0,0.08433333333333326,0.1393333333333333,all_olive
2022,Segrià,6686.0,-0.3606666666666667,0.07933333333333326,all_olive
2023,Segrià,6416.0,-0.05466666666666675,-0.3656666666666667,all_olive
2024,Segrià,6215.0,-0.06066666666666676,-0.05966666666666676,all_olive
2016,Tarragonès,640.0,0.06544444444444464,0.7324444444444447,all_olive
2017,Tarragonès,898.0,0.10744444444444445,-0.1095555555555554,all_olive
2018,Tarragonès,886.0,-0.3285555555555555,-0.06755555555555559,all_olive
2019,Tarragonès,1026.0,0.8204444444444445,-0.5035555555555555,all_olive
2020,Tarragonès,1009.0,0.20244444444444465,0.6454444444444445,all_olive
2021,Tarragonès,1012.0,0.34944444444444445,0.027444444444444605,all_olive
2022,Tarragonès,898.0,-1.1965555555555554,0.1744444444444444,all_olive
2023,Tarragonès,547.0,0.6474444444444445,-1.3715555555555554,all_olive
2024,Tarragonès,574.0,-0.6675555555555555,0.47244444444444444,all_olive
2016,Terra Alta,4587.0,0.27455555555555544,-0.19766666666666677,all_olive
2017,Terra Alta,4580.0,0.6165555555555553,0.21633333333333327,all_olive
2018,Terra Alta,4520.0,-0.4224444444444446,0.5583333333333331,all_olive
2019,Terra Alta,4405.0,0.27455555555555544,-0.4806666666666668,all_olive
2020,Terra Alta,4701.0,-0.04844444444444462,0.21633333333333327,all_olive
2021,Terra Alta,4505.0,0.28855555555555545,-0.1066666666666668,all_olive
2022,Terra Alta,4373.0,-0.7674444444444446,0.23033333333333328,all_olive
2023,Terra Alta,3238.0,0.4475555555555555,-0.8256666666666668,all_olive
2024,Terra Alta,3327.0,-0.6634444444444446,0.3893333333333333,all_olive
2016,Urgell,2865.0,0.14955555555555555,0.08955555555555561,all_olive
2017,Urgell,2771.0,0.16955555555555557,0.11955555555555553,all_olive
2018,Urgell,2398.0,0.039555555555555566,0.13955555555555554,all_olive
2019,Urgell,2577.0,0.059555555555555584,0.00955555555555554,all_olive
2020,Urgell,2766.0,0.12955555555555565,0.029555555555555557,all_olive
2021,Urgell,2806.0,0.12955555555555565,0.09955555555555562,all_olive
2022,Urgell,2319.0,-0.4284444444444444,0.09955555555555562,all_olive
2023,Urgell,2184.0,-0.09844444444444445,-0.45844444444444443,all_olive
2024,Urgell,2150.0,-0.15044444444444438,-0.12844444444444447,all_olive
